id,汉字,出现次数,频率（%）,累积频率（%）
748,挥,3897,0.0251,84.7406
749,负,3882,0.025,84.7656
750,帮,3875,0.0249,84.7905
751,欢,3868,0.0249,84.8154
752,冷,3848,0.0247,84.8401
753,液,3825,0.0246,84.8647
754,停,3818,0.0246,84.8893
755,减,3810,0.0245,84.9138
756,男,3807,0.0245,84.9383
757,胜,3798,0.0244,84.9627
758,答,3795,0.0244,84.9871
759,析,3779,0.0243,85.0114
760,忙,3777,0.0243,85.0357
761,短,3770,0.0242,85.0599
762,烈,3767,0.0242,85.0841
763,映,3752,0.0241,85.1082
764,财,3747,0.0241,85.1323
765,背,3744,0.0241,85.1564
766,奇,3741,0.0241,85.1805
767,药,3740,0.0241,85.2046
768,承,3739,0.024,85.2286
769,岁,3711,0.0239,85.2525
770,略,3673,0.0236,85.2761
771,穿,3651,0.0235,85.2996
772,牛,3640,0.0234,85.323
773,室,3635,0.0234,85.3464
774,移,3634,0.0234,85.3932
775,饭,3634,0.0234,85.3698
776,坏,3618,0.0233,85.4165
777,假,3616,0.0233,85.4398
778,州,3612,0.0232,85.463
779,缺,3611,0.0232,85.4862
780,愿,3610,0.0232,85.5094
781,练,3600,0.0232,85.5326
782,超,3587,0.0231,85.5557
783,雨,3583,0.023,85.5787
784,慢,3582,0.023,85.6017
785,竟,3575,0.023,85.6247
786,呼,3571,0.023,85.6477
787,散,3563,0.0229,85.6706
788,灵,3562,0.0229,85.6935
789,副,3552,0.0228,85.7163
790,歌,3548,0.0228,85.7391
791,谓,3541,0.0228,85.7619
792,虫,3539,0.0228,85.7847
793,读,3538,0.0228,85.8075
794,介,3529,0.0227,85.8302
795,培,3519,0.0226,85.8528
796,卫,3515,0.0226,85.8754
797,宗,3504,0.0225,85.8979
798,章,3487,0.0224,85.9203
799,评,3473,0.0223,85.9649
800,伤,3473,0.0223,85.9426
801,丰,3470,0.0223,85.9872
802,核,3444,0.0221,86.0093
803,预,3438,0.0221,86.0314
804,担,3428,0.022,86.0534
805,诉,3421,0.022,86.0754
806,惊,3421,0.022,86.0974
807,刘,3420,0.022,86.1194
808,景,3399,0.0219,86.1413
809,乱,3385,0.0218,86.1631
810,氧,3379,0.0217,86.1848
811,阿,3377,0.0217,86.2065
812,龙,3369,0.0217,86.2282
813,宣,3366,0.0216,86.2498
814,升,3363,0.0216,86.2714
815,爷,3362,0.0216,86.293
816,洲,3361,0.0216,86.3146
817,判,3353,0.0216,86.3362
818,案,3329,0.0214,86.3576
819,协,3306,0.0213,86.3789
820,福,3301,0.0212,86.4001
821,货,3290,0.0212,86.4213
822,味,3289,0.0212,86.4425
823,若,3285,0.0211,86.4636
824,促,3284,0.0211,86.4847
825,希,3265,0.021,86.5057
826,握,3253,0.0209,86.5266
827,端,3246,0.0209,86.5475
828,针,3241,0.0208,86.5683
829,屋,3228,0.0208,86.5891
830,掌,3215,0.0207,86.6098
831,检,3206,0.0206,86.6304
832,痛,3206,0.0206,86.651
833,闻,3204,0.0206,86.6716
834,妇,3195,0.0205,86.6921
835,贵,3191,0.0205,86.7126
836,顾,3190,0.0205,86.7331
837,沙,3182,0.0205,86.7536
838,扩,3170,0.0204,86.774
839,困,3139,0.0202,86.7942
840,哥,3122,0.0201,86.8344
841,嘴,3122,0.0201,86.8143
842,销,3116,0.02,86.8544
843,印,3114,0.02,86.8744
844,免,3101,0.0199,86.8943
845,烟,3098,0.0199,86.9142
846,跳,3092,0.0199,86.9341
847,香,3090,0.0199,86.954
848,纸,3074,0.0198,86.9738
849,户,3061,0.0197,86.9935
850,板,3059,0.0197,87.0132
851,睛,3040,0.0196,87.0328
852,误,3028,0.0195,87.0523
853,探,3021,0.0194,87.0717
854,座,3018,0.0194,87.0911
855,盾,3016,0.0194,87.1105
856,灯,3016,0.0194,87.1299
857,搞,3012,0.0194,87.1493
858,祖,3003,0.0193,87.1686
859,顺,2999,0.0193,87.1879
860,婚,2995,0.0193,87.2072
861,赶,2987,0.0192,87.2264
862,季,2983,0.0192,87.2456
863,兰,2979,0.0192,87.2648
864,忽,2974,0.0191,87.2839
865,践,2967,0.0191,87.303
866,熟,2962,0.019,87.322
867,矛,2961,0.019,87.341
868,银,2960,0.019,87.36
869,爸,2957,0.019,87.379
870,临,2956,0.019,87.398
871,佛,2946,0.0189,87.4169
872,犯,2945,0.0189,87.4358
873,胞,2941,0.0189,87.4547
874,讨,2940,0.0189,87.4736
875,陆,2938,0.0189,87.4925
876,补,2937,0.0189,87.5114
877,童,2929,0.0188,87.5302
878,圆,2929,0.0188,87.549
879,归,2924,0.0188,87.5678
880,弟,2920,0.0188,87.5866
881,域,2914,0.0187,87.6053
882,索,2906,0.0187,87.624
883,罪,2899,0.0186,87.6426
884,脱,2882,0.0185,87.6611
885,追,2870,0.0185,87.6796
886,守,2866,0.0184,87.698
887,课,2864,0.0184,87.7164
888,顶,2860,0.0184,87.7348
889,松,2852,0.0183,87.7531
890,杀,2840,0.0183,87.7714
891,掉,2835,0.0182,87.7896
892,野,2832,0.0182,87.8078
893,训,2825,0.0182,87.826
894,遍,2822,0.0181,87.8441
895,庭,2816,0.0181,87.8622
896,弱,2814,0.0181,87.8803
897,赛,2811,0.0181,87.8984
898,额,2799,0.018,87.9164
899,酒,2790,0.0179,87.9343
900,绿,2789,0.0179,87.9522
901,席,2786,0.0179,87.9701
902,露,2785,0.0179,87.988
903,卖,2765,0.0178,88.0058
904,钟,2760,0.0178,88.0236
905,旁,2750,0.0177,88.0413
906,肉,2743,0.0176,88.0765
907,央,2743,0.0176,88.0589
908,染,2739,0.0176,88.0941
909,欧,2734,0.0176,88.1117
910,怀,2732,0.0176,88.1293
911,稳,2722,0.0175,88.1468
912,伯,2721,0.0175,88.1643
913,编,2707,0.0174,88.1817
914,抓,2701,0.0174,88.1991
915,玉,2691,0.0173,88.2164
916,咱,2690,0.0173,88.2337
917,唯,2687,0.0173,88.251
918,唱,2683,0.0173,88.2683
919,翻,2682,0.0172,88.2855
920,释,2682,0.0172,88.3027
921,控,2680,0.0172,88.3199
922,怪,2677,0.0172,88.3371
923,阵,2670,0.0172,88.3543
924,烧,2667,0.0172,88.3715
925,堂,2666,0.0171,88.3886
926,杨,2658,0.0171,88.4057
927,您,2654,0.0171,88.4228
928,诗,2648,0.017,88.4398
929,灭,2647,0.017,88.4568
930,夏,2645,0.017,88.4738
931,敢,2645,0.017,88.4908
932,退,2632,0.0169,88.5077
933,姑,2631,0.0169,88.5246
934,恶,2618,0.0168,88.5414
935,透,2616,0.0168,88.5582
936,鲜,2605,0.0168,88.575
937,附,2602,0.0167,88.5917
938,骨,2593,0.0167,88.6084
939,审,2590,0.0167,88.6251
940,胡,2586,0.0166,88.6417
941,输,2584,0.0166,88.6583
942,宁,2583,0.0166,88.6749
943,丝,2581,0.0166,88.6915
944,姐,2580,0.0166,88.7081
945,彩,2576,0.0166,88.7247
946,睡,2575,0.0166,88.7413
947,巨,2572,0.0165,88.7578
948,迫,2568,0.0165,88.7743
949,鼓,2566,0.0165,88.7908
950,伙,2566,0.0165,88.8073
951,借,2563,0.0165,88.8238
952,耳,2556,0.0164,88.8402
953,典,2554,0.0164,88.8566
954,刺,2553,0.0164,88.873
955,暗,2552,0.0164,88.8894
956,镜,2551,0.0164,88.9058
957,序,2542,0.0163,88.9221
958,哈,2535,0.0163,88.9384
959,菜,2528,0.0163,88.9547
960,溶,2527,0.0163,88.971
961,笔,2523,0.0162,88.9872
962,汽,2520,0.0162,89.0034
963,礼,2516,0.0162,89.0196
964,摇,2514,0.0162,89.0358
965,迅,2507,0.0161,89.0519
966,险,2500,0.0161,89.068
967,遗,2477,0.0159,89.0839
968,威,2470,0.0159,89.0998
969,沿,2470,0.0159,89.1157
970,弹,2468,0.0159,89.1316
971,私,2465,0.0159,89.1475
972,攻,2462,0.0158,89.1633
973,宝,2459,0.0158,89.1791
974,抽,2454,0.0158,89.1949
975,雪,2450,0.0158,89.2107
976,孙,2449,0.0158,89.2265
977,藏,2446,0.0157,89.2422
978,毒,2446,0.0157,89.2579
979,顿,2445,0.0157,89.2736
980,末,2443,0.0157,89.2893
981,摆,2433,0.0156,89.3049
982,趣,2430,0.0156,89.3205
983,救,2428,0.0156,89.3361
984,镇,2427,0.0156,89.3517
985,楼,2426,0.0156,89.3673
986,智,2418,0.0156,89.3829
987,园,2417,0.0155,89.3984
988,康,2417,0.0155,89.4139
989,永,2417,0.0155,89.4294
990,遇,2412,0.0155,89.4449
991,雄,2403,0.0155,89.4604
992,替,2400,0.0154,89.4758
993,危,2393,0.0154,89.4912
994,楚,2380,0.0153,89.5065
995,侵,2369,0.0152,89.5217
996,枪,2357,0.0152,89.5369
997,冰,2348,0.0151,89.552
998,健,2346,0.0151,89.5671
999,播,2342,0.0151,89.5822
1000,途,2331,0.015,89.5972
1001,损,2330,0.015,89.6122
1002,秀,2327,0.015,89.6272
1003,丽,2320,0.0149,89.6421
1004,秋,2317,0.0149,89.657
1005,执,2317,0.0149,89.6719
1006,束,2309,0.0148,89.6867
1007,纳,2309,0.0148,89.7015
1008,虑,2306,0.0148,89.7163
1009,疑,2306,0.0148,89.7311
1010,午,2306,0.0148,89.7459
1011,粮,2304,0.0148,89.7607
1012,架,2300,0.0148,89.7755
1013,盛,2298,0.0148,89.7903
1014,湖,2296,0.0148,89.8051
1015,尚,2291,0.0147,89.8198
1016,床,2289,0.0147,89.8345
1017,份,2286,0.0147,89.8492
1018,套,2278,0.0147,89.8639
1019,毫,2278,0.0147,89.8786
1020,奋,2268,0.0146,89.8932
1021,扬,2251,0.0145,89.9077
1022,赵,2247,0.0145,89.9222
1023,混,2239,0.0144,89.9366
1024,献,2237,0.0144,89.951
1025,择,2233,0.0144,89.9654
1026,庄,2230,0.0143,89.9797
1027,殖,2221,0.0143,89.994
1028,店,2215,0.0142,90.0082
1029,皇,2214,0.0142,90.0224
1030,购,2206,0.0142,90.0366
1031,缩,2204,0.0142,90.0508
1032,盐,2201,0.0142,90.065
1033,冬,2188,0.0141,90.0791
1034,齐,2187,0.0141,90.0932
1035,径,2185,0.0141,90.1073
1036,偏,2182,0.014,90.1213
1037,盖,2179,0.014,90.1353
1038,款,2174,0.014,90.1493
1039,衡,2169,0.0139,90.1632
1040,阻,2165,0.0139,90.1771
1041,托,2164,0.0139,90.2049
1042,喊,2164,0.0139,90.191
1043,繁,2163,0.0139,90.2188
1044,纯,2154,0.0139,90.2327
1045,牙,2154,0.0139,90.2466
1046,殊,2153,0.0138,90.2604
1047,浪,2143,0.0138,90.2742
1048,招,2141,0.0138,90.288
1049,符,2136,0.0137,90.3017
1050,折,2130,0.0137,90.3291
1051,泽,2130,0.0137,90.3154
1052,弄,2123,0.0137,90.3428
1053,奶,2112,0.0136,90.3564
1054,谢,2106,0.0135,90.3699
1055,累,2105,0.0135,90.3834
1056,亦,2102,0.0135,90.3969
1057,厚,2100,0.0135,90.4104
1058,朋,2094,0.0135,90.4239
1059,伸,2087,0.0134,90.4373
1060,筑,2081,0.0134,90.4507
1061,闪,2079,0.0134,90.4641
1062,枝,2073,0.0133,90.4774
1063,授,2071,0.0133,90.4907
1064,蛋,2071,0.0133,90.504
1065,潮,2070,0.0133,90.5173
1066,登,2069,0.0133,90.5306
1067,售,2068,0.0133,90.5439
1068,孔,2063,0.0133,90.5572
1069,街,2052,0.0132,90.5704
1070,败,2048,0.0132,90.5836
1071,迎,2044,0.0131,90.5967
1072,肥,2028,0.013,90.6097
1073,恩,2027,0.013,90.6227
1074,尼,2021,0.013,90.6357
1075,幼,2016,0.013,90.6487
1076,惯,2015,0.013,90.6617
1077,钢,2011,0.0129,90.6746
1078,肯,2009,0.0129,90.6875
1079,矿,2007,0.0129,90.7004
1080,岛,2005,0.0129,90.7133
1081,伟,2004,0.0129,90.7262
1082,粉,2004,0.0129,90.7391
1083,振,2002,0.0129,90.752
1084,吴,2000,0.0129,90.7649
1085,夺,1995,0.0128,90.7777
1086,尤,1995,0.0128,90.7905
1087,忘,1994,0.0128,90.8033
1088,荣,1993,0.0128,90.8161
1089,亡,1991,0.0128,90.8417
1090,阴,1991,0.0128,90.8289
1091,凡,1989,0.0128,90.8545
1092,毕,1988,0.0128,90.8673
1093,暴,1987,0.0128,90.8801
1094,唐,1984,0.0128,90.8929
1095,勇,1980,0.0127,90.9056
1096,避,1975,0.0127,90.9183
1097,麻,1969,0.0127,90.931
1098,股,1967,0.0127,90.9437
1099,硬,1967,0.0127,90.9564
1100,洞,1964,0.0126,90.969
1101,盘,1961,0.0126,90.9816
1102,轮,1960,0.0126,90.9942
1103,警,1957,0.0126,91.0068
1104,闹,1957,0.0126,91.0194
1105,录,1955,0.0126,91.0572
1106,绍,1955,0.0126,91.032
1107,描,1955,0.0126,91.0446
1108,寻,1953,0.0126,91.0698
1109,妹,1952,0.0126,91.0824
1110,幸,1948,0.0125,91.0949
1111,壁,1947,0.0125,91.1074
1112,距,1946,0.0125,91.1199
1113,玩,1935,0.0124,91.1447
1114,休,1935,0.0124,91.1323
1115,延,1932,0.0124,91.1571
1116,综,1924,0.0124,91.1695
1117,甲,1922,0.0124,91.1819
1118,泛,1922,0.0124,91.1943
1119,哲,1921,0.0124,91.2067
1120,载,1911,0.0123,91.219
1121,雷,1907,0.0123,91.2313
1122,窗,1906,0.0123,91.2436
1123,虚,1897,0.0122,91.2558
1124,秘,1896,0.0122,91.2802
1125,俗,1896,0.0122,91.268
1126,倾,1894,0.0122,91.2924
1127,哭,1894,0.0122,91.3046
1128,禁,1894,0.0122,91.3168
1129,零,1893,0.0122,91.329
1130,触,1893,0.0122,91.3412
1131,巧,1887,0.0121,91.3533
1132,圈,1886,0.0121,91.3654
1133,努,1885,0.0121,91.3775
1134,喝,1881,0.0121,91.3896
1135,彻,1879,0.0121,91.4017
1136,晶,1878,0.0121,91.4138
1137,丁,1874,0.0121,91.4259
1138,操,1873,0.012,91.4379
1139,奴,1866,0.012,91.4499
1140,宜,1865,0.012,91.4739
1141,菌,1865,0.012,91.4619
1142,叔,1859,0.012,91.4859
1143,桥,1853,0.0119,91.4978
1144,仿,1851,0.0119,91.5097
1145,默,1846,0.0119,91.5216
1146,航,1846,0.0119,91.5335
1147,谷,1844,0.0119,91.5454
1148,泪,1844,0.0119,91.5573
1149,予,1835,0.0118,91.5691
1150,挂,1829,0.0118,91.5809
1151,壮,1826,0.0117,91.5926
1152,纷,1826,0.0117,91.6043
1153,粒,1818,0.0117,91.616
1154,燃,1815,0.0117,91.6277
1155,诸,1813,0.0117,91.6394
1156,削,1804,0.0116,91.651
1157,苗,1804,0.0116,91.6742
1158,婆,1804,0.0116,91.6626
1159,付,1801,0.0116,91.6858
1160,迷,1799,0.0116,91.6974
1161,馆,1794,0.0115,91.7089
1162,灰,1786,0.0115,91.7204
1163,鸡,1779,0.0114,91.7318
1164,岸,1777,0.0114,91.7432
1165,寒,1776,0.0114,91.7546
1166,泥,1774,0.0114,91.766
1167,梅,1772,0.0114,91.7774
1168,残,1769,0.0114,91.7888
1169,税,1768,0.0114,91.8002
1170,虎,1766,0.0114,91.8116
1171,庆,1763,0.0113,91.8229
1172,抱,1757,0.0113,91.8342
1173,鸟,1755,0.0113,91.8568
1174,拍,1755,0.0113,91.8455
1175,墙,1754,0.0113,91.8681
1176,缓,1753,0.0113,91.8794
1177,横,1753,0.0113,91.8907
1178,尾,1750,0.0113,91.902
1179,督,1750,0.0113,91.9133
1180,莫,1749,0.0112,91.9245
1181,械,1749,0.0112,91.9357
1182,尖,1741,0.0112,91.9469
1183,旅,1738,0.0112,91.9581
1184,倍,1735,0.0112,91.9693
1185,措,1732,0.0111,91.9804
1186,剥,1731,0.0111,91.9915
1187,遭,1725,0.0111,92.0026
1188,懂,1722,0.0111,92.0137
1189,粗,1720,0.0111,92.0248
1190,奏,1718,0.011,92.0358
1191,润,1717,0.011,92.0468
1192,侧,1714,0.011,92.0578
1193,辩,1712,0.011,92.0688
1194,茶,1709,0.011,92.0798
1195,鬼,1706,0.011,92.0908
1196,梦,1702,0.0109,92.1017
1197,贯,1701,0.0109,92.1126
1198,篇,1697,0.0109,92.1235
1199,妻,1693,0.0109,92.1453
1200,宽,1693,0.0109,92.1344
1201,腿,1691,0.0109,92.1562
1202,刀,1689,0.0109,92.1671
1203,桌,1689,0.0109,92.178
1204,浓,1680,0.0108,92.1888
1205,跃,1674,0.0108,92.1996
1206,蹈,1671,0.0107,92.2103
1207,洗,1670,0.0107,92.221
1208,卷,1669,0.0107,92.2317
1209,欲,1662,0.0107,92.2424
1210,袋,1662,0.0107,92.2531
1211,赏,1661,0.0107,92.2638
1212,悲,1660,0.0107,92.2852
1213,劲,1660,0.0107,92.2745
1214,鲁,1655,0.0106,92.3064
1215,赞,1655,0.0106,92.317
1216,氏,1655,0.0106,92.2958
1217,汇,1647,0.0106,92.3276
1218,迹,1647,0.0106,92.3382
1219,竞,1642,0.0106,92.3488
1220,醒,1634,0.0105,92.3593
1221,裂,1634,0.0105,92.3698
1222,闭,1631,0.0105,92.3803
1223,森,1631,0.0105,92.3908
1224,腰,1626,0.0105,92.4013
1225,磁,1621,0.0104,92.4117
1226,湿,1618,0.0104,92.4221
1227,聚,1614,0.0104,92.4325
1228,兄,1613,0.0104,92.4429
1229,徐,1603,0.0103,92.4532
1230,炼,1599,0.0103,92.4635
1231,订,1591,0.0102,92.4737
1232,川,1589,0.0102,92.4839
1233,吹,1587,0.0102,92.4941
1234,蒙,1587,0.0102,92.5043
1235,胸,1585,0.0102,92.5145
1236,召,1584,0.0102,92.5247
1237,伴,1583,0.0102,92.5349
1238,徒,1582,0.0102,92.5451
1239,幅,1582,0.0102,92.5553
1240,疗,1578,0.0101,92.5654
1241,淡,1575,0.0101,92.5755
1242,奖,1569,0.0101,92.5856
1243,仪,1567,0.0101,92.5957
1244,珠,1567,0.0101,92.6058
1245,绪,1565,0.0101,92.6159
1246,蒋,1564,0.0101,92.626
1247,猪,1560,0.01,92.636
1248,剂,1554,0.01,92.646
1249,访,1552,0.01,92.656
1250,狗,1549,0.01,92.666
1251,摸,1547,0.0099,92.6759
1252,趋,1546,0.0099,92.6858
1253,宋,1545,0.0099,92.6957
1254,伏,1545,0.0099,92.7056
1255,棉,1538,0.0099,92.7155
1256,恐,1538,0.0099,92.7254
1257,羊,1528,0.0098,92.7352
1258,碳,1526,0.0098,92.745
1259,隔,1525,0.0098,92.7548
1260,网,1524,0.0098,92.7646
1261,猛,1524,0.0098,92.7744
1262,爬,1520,0.0098,92.7842
1263,缘,1513,0.0097,92.7939
1264,麦,1508,0.0097,92.8036
1265,库,1506,0.0097,92.8133
1266,津,1505,0.0097,92.823
1267,监,1504,0.0097,92.8327
1268,薄,1501,0.0097,92.8424
1269,净,1500,0.0096,92.852
1270,旋,1497,0.0096,92.8616
1271,贫,1496,0.0096,92.8712
1272,罢,1496,0.0096,92.8808
1273,穷,1495,0.0096,92.8904
1274,乏,1495,0.0096,92.9
1275,挑,1494,0.0096,92.9096
1276,废,1491,0.0096,92.9192
1277,汗,1485,0.0096,92.9288
1278,耗,1485,0.0096,92.9384
1279,尊,1482,0.0095,92.9479
1280,牌,1477,0.0095,92.9574
1281,抢,1474,0.0095,92.9669
1282,软,1473,0.0095,92.9764
1283,隶,1472,0.0095,92.9859
1284,宇,1466,0.0094,92.9953
1285,圣,1465,0.0094,93.0047
1286,港,1463,0.0094,93.0141
1287,欣,1461,0.0094,93.0235
1288,塞,1460,0.0094,93.0329
1289,刑,1459,0.0094,93.0423
1290,博,1458,0.0094,93.0517
1291,揭,1453,0.0093,93.061
1292,垂,1449,0.0093,93.0703
1293,姓,1444,0.0093,93.0796
1294,捕,1442,0.0093,93.0982
1295,荒,1442,0.0093,93.1075
1296,诚,1442,0.0093,93.0889
1297,炮,1441,0.0093,93.1168
1298,呈,1440,0.0093,93.1261
1299,辑,1439,0.0093,93.1354
1300,卡,1435,0.0092,93.1446
1301,伦,1434,0.0092,93.1538
1302,蓝,1431,0.0092,93.163
1303,抬,1430,0.0092,93.1722
1304,宫,1426,0.0092,93.1814
1305,敬,1425,0.0092,93.1906
1306,版,1423,0.0092,93.1998
1307,忍,1422,0.0091,93.2089
1308,颜,1415,0.0091,93.218
1309,竹,1414,0.0091,93.2271
1310,碰,1414,0.0091,93.2362
1311,启,1411,0.0091,93.2453
1312,票,1409,0.0091,93.2544
1313,隐,1409,0.0091,93.2635
1314,抵,1406,0.009,93.2815
1315,脉,1406,0.009,93.2725
1316,浮,1405,0.009,93.2905
1317,煤,1404,0.009,93.2995
1318,剩,1400,0.009,93.3085
1319,珍,1399,0.009,93.3175
1320,奔,1398,0.009,93.3265
1321,堆,1396,0.009,93.3355
1322,扎,1393,0.009,93.3445
1323,谋,1392,0.009,93.3535
1324,貌,1392,0.009,93.3625
1325,脏,1388,0.0089,93.3714
1326,逃,1387,0.0089,93.3803
1327,洪,1387,0.0089,93.3892
1328,旗,1386,0.0089,93.3981
1329,潜,1384,0.0089,93.407
1330,鼻,1382,0.0089,93.4159
1331,忆,1378,0.0089,93.4248
1332,湾,1376,0.0088,93.4336
1333,绩,1374,0.0088,93.4424
1334,恰,1371,0.0088,93.4512
1335,坦,1368,0.0088,93.46
1336,怒,1365,0.0088,93.4688
1337,震,1363,0.0088,93.4776
1338,豆,1362,0.0088,93.4864
1339,插,1357,0.0087,93.4951
1340,戴,1357,0.0087,93.5038
1341,涉,1356,0.0087,93.5125
1342,绘,1356,0.0087,93.5212
1343,瓦,1356,0.0087,93.5299
1344,龄,1355,0.0087,93.5473
1345,池,1355,0.0087,93.5386
1346,沟,1350,0.0087,93.556
1347,呵,1349,0.0087,93.5647
1348,伍,1347,0.0087,93.5734
1349,氢,1345,0.0087,93.5821
1350,拥,1344,0.0086,93.5907
1351,乘,1344,0.0086,93.5993
1352,吉,1343,0.0086,93.6079
1353,尺,1342,0.0086,93.6337
1354,朱,1342,0.0086,93.6251
1355,蒸,1342,0.0086,93.6165
1356,舍,1342,0.0086,93.6423
1357,贡,1337,0.0086,93.6509
1358,糊,1335,0.0086,93.6595
1359,梁,1335,0.0086,93.6681
1360,漫,1333,0.0086,93.6767
1361,腾,1330,0.0086,93.6853
1362,症,1329,0.0085,93.6938
1363,丈,1328,0.0085,93.7023
1364,钻,1320,0.0085,93.7108
1365,磨,1319,0.0085,93.7193
1366,井,1318,0.0085,93.7278
1367,艰,1318,0.0085,93.7363
1368,键,1317,0.0085,93.7448
1369,绕,1315,0.0085,93.7533
1370,幕,1314,0.0085,93.7618
1371,斤,1311,0.0084,93.7702
1372,污,1307,0.0084,93.7786
1373,贝,1306,0.0084,93.787
1374,冒,1305,0.0084,93.7954
1375,阔,1305,0.0084,93.8038
1376,胆,1302,0.0084,93.8122
1377,渡,1300,0.0084,93.829
1378,碍,1300,0.0084,93.8206
1379,崇,1299,0.0084,93.8374
1380,愈,1299,0.0084,93.8458
1381,岩,1298,0.0083,93.8541
1382,玻,1298,0.0083,93.8624
1383,碎,1297,0.0083,93.8707
1384,宪,1296,0.0083,93.879
1385,俄,1290,0.0083,93.8873
1386,障,1284,0.0083,93.8956
1387,融,1283,0.0083,93.9039
1388,贸,1282,0.0082,93.9121
1389,耐,1279,0.0082,93.9203
1390,届,1279,0.0082,93.9285
1391,寄,1277,0.0082,93.9367
1392,荡,1276,0.0082,93.9449
1393,币,1273,0.0082,93.9613
1394,俩,1273,0.0082,93.9695
1395,卵,1273,0.0082,93.9531
1396,弃,1272,0.0082,93.9777
1397,悄,1270,0.0082,93.9859
1398,偶,1269,0.0082,93.9941
1399,纵,1269,0.0082,94.0023
1400,陷,1269,0.0082,94.0105
1401,坡,1268,0.0082,94.0187
1402,勤,1263,0.0081,94.0268
1403,享,1262,0.0081,94.0349
1404,塑,1262,0.0081,94.043
1405,膜,1261,0.0081,94.0511
1406,铜,1257,0.0081,94.0592
1407,拖,1251,0.008,94.0672
1408,暖,1251,0.008,94.0752
1409,稍,1250,0.008,94.0832
1410,摩,1249,0.008,94.0912
1411,硫,1243,0.008,94.0992
1412,哩,1242,0.008,94.1072
1413,乌,1241,0.008,94.1152
1414,循,1240,0.008,94.1232
1415,妙,1239,0.008,94.1312
1416,疾,1238,0.008,94.1392
1417,肩,1236,0.0079,94.1471
1418,炎,1235,0.0079,94.155
1419,偷,1234,0.0079,94.1629
1420,赤,1233,0.0079,94.1708
1421,灾,1233,0.0079,94.1787
1422,恒,1230,0.0079,94.1866
1423,孤,1228,0.0079,94.1945
1424,仁,1228,0.0079,94.2024
1425,腔,1228,0.0079,94.2103
1426,杯,1226,0.0079,94.2182
1427,乃,1225,0.0079,94.2261
1428,稀,1222,0.0079,94.234
1429,恢,1222,0.0079,94.2419
1430,违,1220,0.0078,94.2497
1431,伊,1217,0.0078,94.2575
1432,挺,1215,0.0078,94.2653
1433,乙,1210,0.0078,94.2731
1434,拜,1206,0.0078,94.2809
1435,焦,1205,0.0077,94.2886
1436,锋,1204,0.0077,94.2963
1437,铺,1203,0.0077,94.3117
1438,颗,1203,0.0077,94.304
1439,滑,1201,0.0077,94.3194
1440,敏,1194,0.0077,94.3271
1441,洁,1190,0.0077,94.3348
1442,嘛,1189,0.0076,94.35
1443,凝,1189,0.0076,94.3576
1444,凉,1189,0.0076,94.3424
1445,杜,1188,0.0076,94.3652
1446,凭,1187,0.0076,94.3728
1447,勒,1186,0.0076,94.3804
1448,爆,1186,0.0076,94.388
1449,递,1186,0.0076,94.3956
1450,鞋,1186,0.0076,94.4032
1451,迁,1185,0.0076,94.4108
1452,秦,1184,0.0076,94.4184
1453,桂,1183,0.0076,94.426
1454,璃,1174,0.0076,94.4336
1455,摄,1173,0.0075,94.4411
1456,叹,1171,0.0075,94.4486
1457,峰,1168,0.0075,94.4561
1458,牧,1165,0.0075,94.4636
1459,恨,1163,0.0075,94.4711
1460,糖,1162,0.0075,94.4861
1461,骂,1162,0.0075,94.4786
1462,贴,1160,0.0075,94.4936
1463,紫,1160,0.0075,94.5011
1464,壤,1158,0.0074,94.5085
1465,辛,1157,0.0074,94.5159
1466,仰,1157,0.0074,94.5233
1467,腐,1154,0.0074,94.5307
1468,割,1153,0.0074,94.5381
1469,辈,1152,0.0074,94.5455
1470,君,1151,0.0074,94.5529
1471,泡,1149,0.0074,94.5603
1472,郭,1146,0.0074,94.5677
1473,呆,1141,0.0073,94.575
1474,番,1140,0.0073,94.5823
1475,励,1138,0.0073,94.5896
1476,乳,1133,0.0073,94.6042
1477,亿,1133,0.0073,94.5969
1478,兼,1131,0.0073,94.6115
1479,昨,1130,0.0073,94.6188
1480,刊,1127,0.0072,94.626
1481,擦,1122,0.0072,94.6332
1482,迟,1116,0.0072,94.6404
1483,拔,1115,0.0072,94.6476
1484,丹,1110,0.0071,94.6547
1485,彼,1106,0.0071,94.6618
1486,搬,1105,0.0071,94.6689
