id,汉字,出现次数,频率（%）,累积频率（%）
2242,缴,403,0.0026,97.9585
2243,钙,403,0.0026,97.9611
2244,铅,402,0.0026,97.9663
2245,乔,402,0.0026,97.9637
2246,懒,401,0.0026,97.9689
2247,萍,401,0.0026,97.9715
2248,莉,400,0.0026,97.9741
2249,挽,399,0.0026,97.9767
2250,凄,399,0.0026,97.9793
2251,刮,396,0.0025,97.9818
2252,卓,396,0.0025,97.9843
2253,档,392,0.0025,97.9918
2254,妄,392,0.0025,97.9893
2255,劫,392,0.0025,97.9868
2256,阁,391,0.0025,97.9968
2257,掀,391,0.0025,97.9993
2258,哗,391,0.0025,98.0018
2259,藤,391,0.0025,97.9943
2260,吟,389,0.0025,98.0093
2261,杏,389,0.0025,98.0043
2262,颂,389,0.0025,98.0068
2263,梢,388,0.0025,98.0118
2264,罕,387,0.0025,98.0193
2265,沸,387,0.0025,98.0168
2266,滨,387,0.0025,98.0143
2267,翔,386,0.0025,98.0243
2268,汁,386,0.0025,98.0268
2269,戈,386,0.0025,98.0218
2270,愚,385,0.0025,98.0343
2271,○,385,0.0025,98.0318
2272,秧,385,0.0025,98.0293
2273,抒,384,0.0025,98.0368
2274,弊,384,0.0025,98.0393
2275,姜,384,0.0025,98.0418
2276,拘,383,0.0025,98.0518
2277,贩,383,0.0025,98.0493
2278,框,383,0.0025,98.0443
2279,屁,383,0.0025,98.0468
2280,喻,382,0.0025,98.0593
2281,嘱,382,0.0025,98.0543
2282,垫,382,0.0025,98.0568
2283,迪,381,0.0025,98.0618
2284,契,380,0.0024,98.0642
2285,弗,379,0.0024,98.069
2286,瑶,379,0.0024,98.0714
2287,赌,379,0.0024,98.0666
2288,堤,379,0.0024,98.0738
2289,哄,378,0.0024,98.0762
2290,旨,377,0.0024,98.0834
2291,晕,377,0.0024,98.081
2292,凳,377,0.0024,98.0786
2293,址,376,0.0024,98.0858
2294,彪,376,0.0024,98.0882
2295,踢,375,0.0024,98.093
2296,俊,375,0.0024,98.0954
2297,韦,375,0.0024,98.0978
2298,贼,375,0.0024,98.0906
2299,稚,374,0.0024,98.1026
2300,蝶,374,0.0024,98.105
2301,账,374,0.0024,98.1002
2302,凹,373,0.0024,98.1074
2303,帕,373,0.0024,98.1098
2304,携,371,0.0024,98.1122
2305,茅,370,0.0024,98.1146
2306,枢,369,0.0024,98.1242
2307,溃,369,0.0024,98.1218
2308,哨,369,0.0024,98.117
2309,枚,369,0.0024,98.1194
2310,驳,368,0.0024,98.129
2311,歧,368,0.0024,98.1266
2312,抄,367,0.0024,98.1314
2313,弓,367,0.0024,98.1338
2314,稼,366,0.0024,98.1362
2315,颁,366,0.0024,98.1386
2316,徽,366,0.0024,98.141
2317,杠,365,0.0023,98.1433
2318,泳,364,0.0023,98.1456
2319,蜡,364,0.0023,98.1479
2320,吻,363,0.0023,98.1502
2321,沾,363,0.0023,98.1525
2322,绣,363,0.0023,98.1548
2323,叮,362,0.0023,98.1594
2324,谨,362,0.0023,98.1617
2325,厨,362,0.0023,98.1571
2326,拐,361,0.0023,98.164
2327,宴,360,0.0023,98.1663
2328,鸦,360,0.0023,98.1686
2329,衷,360,0.0023,98.1709
2330,戚,360,0.0023,98.1732
2331,粹,358,0.0023,98.1755
2332,碑,358,0.0023,98.1778
2333,煮,357,0.0023,98.1801
2334,蕾,356,0.0023,98.1824
2335,淑,356,0.0023,98.1847
2336,逸,355,0.0023,98.187
2337,翁,355,0.0023,98.1893
2338,倘,354,0.0023,98.1916
2339,恳,354,0.0023,98.1939
2340,逊,353,0.0023,98.1962
2341,趟,353,0.0023,98.1985
2342,讼,351,0.0023,98.2008
2343,衍,351,0.0023,98.2031
2344,蔽,351,0.0023,98.2054
2345,胳,350,0.0023,98.21
2346,罐,350,0.0023,98.2077
2347,裙,349,0.0022,98.2122
2348,龟,349,0.0022,98.2144
2349,奠,349,0.0022,98.2166
2350,颌,348,0.0022,98.2188
2351,驴,348,0.0022,98.221
2352,撕,347,0.0022,98.2232
2353,蒂,346,0.0022,98.232
2354,姚,346,0.0022,98.2298
2355,滥,346,0.0022,98.2254
2356,恭,346,0.0022,98.2276
2357,耻,345,0.0022,98.2386
2358,蕴,345,0.0022,98.2342
2359,骄,345,0.0022,98.2364
2360,煌,344,0.0022,98.2408
2361,冤,343,0.0022,98.243
2362,瞎,343,0.0022,98.2452
2363,娇,343,0.0022,98.2474
2364,杭,343,0.0022,98.2496
2365,倦,342,0.0022,98.254
2366,愧,342,0.0022,98.2518
2367,淮,341,0.0022,98.2562
2368,柯,340,0.0022,98.2584
2369,聊,339,0.0022,98.2606
2370,侨,338,0.0022,98.2628
2371,萝,337,0.0022,98.265
2372,惟,337,0.0022,98.2672
2373,谅,337,0.0022,98.2694
2374,瘤,336,0.0022,98.2716
2375,蚂,336,0.0022,98.2738
2376,崔,336,0.0022,98.276
2377,廊,335,0.0022,98.2826
2378,溉,335,0.0022,98.2782
2379,铸,335,0.0022,98.2804
2380,髓,334,0.0021,98.2847
2381,碌,333,0.0021,98.2868
2382,拢,333,0.0021,98.2889
2383,沫,333,0.0021,98.291
2384,帅,331,0.0021,98.2931
2385,坟,331,0.0021,98.2952
2386,娱,331,0.0021,98.2973
2387,吏,331,0.0021,98.2994
2388,峻,330,0.0021,98.3036
2389,昼,330,0.0021,98.3057
2390,歉,330,0.0021,98.3015
2391,刹,329,0.0021,98.3078
2392,坝,329,0.0021,98.3099
2393,栖,328,0.0021,98.312
2394,捐,328,0.0021,98.3141
2395,渊,328,0.0021,98.3162
2396,傍,327,0.0021,98.3183
2397,叭,326,0.0021,98.3204
2398,鸽,326,0.0021,98.3225
2399,淘,324,0.0021,98.3246
2400,轿,324,0.0021,98.3267
2401,呜,324,0.0021,98.3288
2402,宰,323,0.0021,98.3309
2403,谦,323,0.0021,98.3351
2404,玄,323,0.0021,98.3372
2405,丙,323,0.0021,98.333
2406,愣,322,0.0021,98.3393
2407,朽,322,0.0021,98.3414
2408,跪,321,0.0021,98.3435
2409,券,320,0.0021,98.3456
2410,寓,320,0.0021,98.3477
2411,捏,319,0.0021,98.3519
2412,搅,319,0.0021,98.354
2413,笨,319,0.0021,98.3498
2414,槽,319,0.0021,98.3561
2415,咋,318,0.002,98.3661
2416,厦,318,0.002,98.3621
2417,爪,318,0.002,98.3581
2418,奎,318,0.002,98.3601
2419,榜,318,0.002,98.3641
2420,屠,317,0.002,98.3681
2421,耸,317,0.002,98.3701
2422,驼,317,0.002,98.3721
2423,甩,316,0.002,98.3761
2424,逮,316,0.002,98.3861
2425,殷,316,0.002,98.3781
2426,赚,316,0.002,98.3741
2427,歼,316,0.002,98.3801
2428,孢,316,0.002,98.3821
2429,僵,316,0.002,98.3841
2430,矣,315,0.002,98.3901
2431,锤,315,0.002,98.3881
2432,浴,314,0.002,98.3921
2433,呐,314,0.002,98.3941
2434,兹,314,0.002,98.3961
2435,坎,314,0.002,98.3981
2436,珊,313,0.002,98.4001
2437,苯,313,0.002,98.4021
2438,垦,312,0.002,98.4041
2439,兜,311,0.002,98.4101
2440,禅,311,0.002,98.4061
2441,芝,311,0.002,98.4081
2442,吁,311,0.002,98.4121
2443,酶,310,0.002,98.4141
2444,舆,310,0.002,98.4161
2445,惶,310,0.002,98.4181
2446,咐,310,0.002,98.4201
2447,瓷,309,0.002,98.4221
2448,陌,309,0.002,98.4241
2449,颖,309,0.002,98.4261
2450,帘,308,0.002,98.4301
2451,摧,308,0.002,98.4321
2452,赢,308,0.002,98.4281
2453,裹,308,0.002,98.4341
2454,瞅,307,0.002,98.4401
2455,卸,307,0.002,98.4361
2456,兆,307,0.002,98.4381
2457,咧,306,0.002,98.4421
2458,噢,306,0.002,98.4441
2459,仆,305,0.002,98.4461
2460,膊,304,0.002,98.4481
2461,醇,304,0.002,98.4501
2462,饶,304,0.002,98.4521
2463,嗯,303,0.0019,98.4578
2464,篷,303,0.0019,98.454
2465,膝,303,0.0019,98.4559
2466,肪,303,0.0019,98.4597
2467,寞,302,0.0019,98.4616
2468,挫,302,0.0019,98.4635
2469,俯,301,0.0019,98.4654
2470,桔,301,0.0019,98.4673
2471,蚊,301,0.0019,98.4692
2472,熙,300,0.0019,98.473
2473,巷,300,0.0019,98.4749
2474,眨,300,0.0019,98.4711
2475,烛,299,0.0019,98.4806
2476,踩,299,0.0019,98.4787
2477,缸,299,0.0019,98.4768
2478,屯,298,0.0019,98.4844
2479,顷,298,0.0019,98.4863
2480,鼎,298,0.0019,98.4825
2481,砸,297,0.0019,98.4882
2482,乾,297,0.0019,98.4901
2483,咸,297,0.0019,98.492
2484,沃,296,0.0019,98.4939
2485,衔,296,0.0019,98.4958
2486,俘,295,0.0019,98.4996
2487,熬,295,0.0019,98.4977
2488,喇,294,0.0019,98.5053
2489,芒,294,0.0019,98.5034
2490,钓,294,0.0019,98.5015
2491,侍,294,0.0019,98.5091
2492,禽,294,0.0019,98.5072
2493,桩,294,0.0019,98.511
2494,灿,294,0.0019,98.5129
2495,吼,293,0.0019,98.5167
2496,泣,293,0.0019,98.5186
2497,讽,293,0.0019,98.5205
2498,凸,293,0.0019,98.5148
2499,谭,292,0.0019,98.5224
2500,敞,291,0.0019,98.5262
2501,聘,291,0.0019,98.5243
2502,哺,290,0.0019,98.5281
2503,癌,289,0.0019,98.53
2504,浦,289,0.0019,98.5319
2505,躁,288,0.0019,98.5376
2506,卿,288,0.0019,98.5357
2507,勘,288,0.0019,98.5338
2508,窜,287,0.0018,98.543
2509,溢,287,0.0018,98.5448
2510,舟,287,0.0018,98.5412
2511,楞,287,0.0018,98.5394
2512,虹,286,0.0018,98.5466
2513,蛛,286,0.0018,98.5484
2514,耍,285,0.0018,98.5538
2515,饵,285,0.0018,98.552
2516,烷,285,0.0018,98.5502
2517,骚,284,0.0018,98.5556
2518,枣,284,0.0018,98.5574
2519,浇,284,0.0018,98.5592
2520,崩,283,0.0018,98.561
2521,蹦,282,0.0018,98.5628
2522,褐,281,0.0018,98.5646
2523,嘎,280,0.0018,98.5664
2524,俭,279,0.0018,98.57
2525,仑,279,0.0018,98.5718
2526,窟,279,0.0018,98.5754
2527,陡,279,0.0018,98.5736
2528,荫,279,0.0018,98.5682
2529,嚼,278,0.0018,98.5826
2530,倩,278,0.0018,98.5772
2531,钦,278,0.0018,98.579
2532,弧,278,0.0018,98.5808
2533,涡,277,0.0018,98.5844
2534,潭,276,0.0018,98.597
2535,坊,276,0.0018,98.5952
2536,缔,276,0.0018,98.5934
2537,廓,276,0.0018,98.5916
2538,佐,276,0.0018,98.5898
2539,夷,276,0.0018,98.5862
2540,眯,276,0.0018,98.588
2541,枕,275,0.0018,98.6024
2542,捣,275,0.0018,98.5988
2543,蹄,275,0.0018,98.6006
2544,猩,274,0.0018,98.6042
2545,狐,274,0.0018,98.606
2546,柄,273,0.0018,98.6078
2547,穗,272,0.0017,98.6095
2548,伞,272,0.0017,98.6112
2549,拚,272,0.0017,98.6129
2550,浊,271,0.0017,98.6197
2551,壶,271,0.0017,98.618
2552,冈,271,0.0017,98.6146
2553,搁,271,0.0017,98.6163
2554,屑,270,0.0017,98.6248
2555,谬,270,0.0017,98.6214
2556,拱,270,0.0017,98.6231
2557,魁,269,0.0017,98.6265
2558,祀,269,0.0017,98.6282
2559,荧,269,0.0017,98.6299
2560,誓,269,0.0017,98.6316
2561,斋,269,0.0017,98.6333
2562,虾,268,0.0017,98.6401
2563,绸,268,0.0017,98.635
2564,魄,268,0.0017,98.6384
2565,娟,268,0.0017,98.6418
2566,姊,268,0.0017,98.6367
2567,秃,267,0.0017,98.6435
2568,泻,267,0.0017,98.6452
2569,鹏,266,0.0017,98.6469
2570,蟹,265,0.0017,98.6486
2571,斌,265,0.0017,98.6503
2572,灼,264,0.0017,98.652
2573,扛,263,0.0017,98.6537
2574,镁,263,0.0017,98.6554
2575,瓣,262,0.0017,98.6571
2576,艘,261,0.0017,98.6605
2577,捆,261,0.0017,98.6622
2578,膏,261,0.0017,98.6588
2579,苇,260,0.0017,98.6639
2580,厢,260,0.0017,98.6656
2581,妮,260,0.0017,98.6673
2582,蒲,260,0.0017,98.669
2583,啸,259,0.0017,98.6707
2584,劈,259,0.0017,98.6724
2585,滤,259,0.0017,98.6741
2586,葱,259,0.0017,98.6758
2587,栗,258,0.0017,98.6775
2588,袍,258,0.0017,98.6792
2589,耽,258,0.0017,98.6809
2590,痴,257,0.0017,98.6826
2591,颊,257,0.0017,98.6843
2592,猿,256,0.0016,98.6859
2593,沪,256,0.0016,98.6875
2594,怯,255,0.0016,98.6907
2595,垒,255,0.0016,98.6923
2596,芭,255,0.0016,98.6939
2597,蔑,255,0.0016,98.6955
2598,絮,255,0.0016,98.6971
2599,咯,255,0.0016,98.6891
2600,笛,254,0.0016,98.6987
2601,嘲,253,0.0016,98.7003
2602,爵,253,0.0016,98.7019
2603,瞒,253,0.0016,98.7035
2604,冀,253,0.0016,98.7051
2605,赐,252,0.0016,98.7067
2606,酿,252,0.0016,98.7083
2607,烫,251,0.0016,98.7115
2608,惕,251,0.0016,98.7131
2609,逗,251,0.0016,98.7147
2610,挪,251,0.0016,98.7099
2611,吱,250,0.0016,98.7163
2612,淫,249,0.0016,98.7195
2613,糕,249,0.0016,98.7179
2614,剿,248,0.0016,98.7211
2615,拣,248,0.0016,98.7227
2616,琼,248,0.0016,98.7307
2617,塌,248,0.0016,98.7243
2618,渣,248,0.0016,98.7259
2619,澄,248,0.0016,98.7275
2620,赠,248,0.0016,98.7291
2621,媚,247,0.0016,98.7339
2622,荐,247,0.0016,98.7355
2623,暑,247,0.0016,98.7371
2624,鹤,247,0.0016,98.7323
2625,绅,246,0.0016,98.7387
2626,讶,246,0.0016,98.7403
2627,凿,246,0.0016,98.7419
2628,烁,246,0.0016,98.7467
2629,狮,246,0.0016,98.7435
2630,乒,246,0.0016,98.7451
2631,薛,245,0.0016,98.7499
2632,侮,245,0.0016,98.7515
2633,阎,245,0.0016,98.7531
2634,嗽,245,0.0016,98.7483
2635,朦,244,0.0016,98.7547
2636,喃,244,0.0016,98.7563
2637,埔,242,0.0016,98.7579
2638,蝇,241,0.0015,98.7594
2639,锣,241,0.0015,98.7609
2640,炒,241,0.0015,98.7624
2641,娶,241,0.0015,98.7639
2642,棕,240,0.0015,98.7699
2643,韧,240,0.0015,98.7729
2644,礁,240,0.0015,98.7714
2645,陀,240,0.0015,98.7744
2646,肆,240,0.0015,98.7654
2647,乖,240,0.0015,98.7669
2648,禄,240,0.0015,98.7684
2649,骆,239,0.0015,98.7804
2650,驯,239,0.0015,98.7759
2651,匙,239,0.0015,98.7774
2652,萎,239,0.0015,98.7789
2653,舶,238,0.0015,98.7819
2654,滔,238,0.0015,98.7834
2655,卤,238,0.0015,98.7849
2656,摹,238,0.0015,98.7864
2657,昔,238,0.0015,98.7879
2658,陋,237,0.0015,98.7894
2659,雁,237,0.0015,98.7924
2660,耿,237,0.0015,98.7939
2661,裳,237,0.0015,98.7909
2662,崭,236,0.0015,98.7954
2663,妆,236,0.0015,98.7969
2664,勋,236,0.0015,98.7984
2665,侣,235,0.0015,98.7999
2666,闸,235,0.0015,98.8014
2667,贬,234,0.0015,98.8029
2668,痰,234,0.0015,98.8059
2669,喧,234,0.0015,98.8044
2670,膛,234,0.0015,98.8104
2671,胧,234,0.0015,98.8089
2672,辫,234,0.0015,98.8074
2673,烯,232,0.0015,98.8119
2674,丫,231,0.0015,98.8224
2675,铀,231,0.0015,98.8254
2676,甸,231,0.0015,98.8239
2677,犁,231,0.0015,98.8209
2678,幢,231,0.0015,98.8194
2679,窑,231,0.0015,98.8269
2680,羡,231,0.0015,98.8179
2681,坪,231,0.0015,98.8164
2682,缀,231,0.0015,98.8134
2683,坤,231,0.0015,98.8149
2684,汹,230,0.0015,98.8314
2685,柑,230,0.0015,98.8299
2686,淹,230,0.0015,98.8284
2687,杉,229,0.0015,98.8329
2688,棺,228,0.0015,98.8389
2689,怖,228,0.0015,98.8344
2690,腻,228,0.0015,98.8359
2691,薯,228,0.0015,98.8374
2692,锈,227,0.0015,98.8404
2693,魅,227,0.0015,98.8449
2694,炳,227,0.0015,98.8434
2695,洽,227,0.0015,98.8419
2696,诵,226,0.0015,98.8464
2697,咪,226,0.0015,98.8479
2698,椎,226,0.0015,98.8494
2699,畔,226,0.0015,98.8509
2700,玫,226,0.0015,98.8524
2701,柿,225,0.0014,98.858
2702,帜,225,0.0014,98.8566
2703,桐,225,0.0014,98.8538
2704,襟,225,0.0014,98.8552
2705,筷,224,0.0014,98.8608
2706,帆,224,0.0014,98.8594
2707,唔,223,0.0014,98.8622
2708,匈,223,0.0014,98.8636
2709,嵌,222,0.0014,98.865
2710,梳,222,0.0014,98.8664
2711,鳞,222,0.0014,98.8678
2712,佣,222,0.0014,98.8692
2713,莎,221,0.0014,98.8776
2714,熄,221,0.0014,98.8706
2715,砌,221,0.0014,98.872
2716,昧,221,0.0014,98.8734
2717,噪,221,0.0014,98.8748
2718,簧,221,0.0014,98.8762
2719,婉,220,0.0014,98.879
2720,毯,220,0.0014,98.8804
2721,孵,220,0.0014,98.8818
2722,憾,220,0.0014,98.8832
2723,谎,219,0.0014,98.8846
2724,坠,218,0.0014,98.8902
2725,煞,218,0.0014,98.8888
2726,藉,218,0.0014,98.886
2727,嗡,218,0.0014,98.8874
2728,绑,218,0.0014,98.8916
2729,妖,217,0.0014,98.893
2730,蝴,217,0.0014,98.8972
2731,瑰,217,0.0014,98.8986
2732,揉,217,0.0014,98.8958
2733,苔,217,0.0014,98.8944
2734,拌,216,0.0014,98.9028
2735,莹,216,0.0014,98.9
2736,昭,216,0.0014,98.9014
2737,汰,215,0.0014,98.9056
2738,拂,215,0.0014,98.9042
2739,嗅,214,0.0014,98.9112
2740,钮,214,0.0014,98.9098
2741,鄙,214,0.0014,98.9084
2742,撰,214,0.0014,98.907
2743,盏,213,0.0014,98.9168
2744,烘,213,0.0014,98.9154
2745,谣,213,0.0014,98.914
2746,稣,213,0.0014,98.9126
2747,竿,212,0.0014,98.9182
2748,皖,212,0.0014,98.9196
2749,锥,210,0.0014,98.9238
2750,烃,210,0.0014,98.921
2751,犬,210,0.0014,98.9224
2752,喀,209,0.0013,98.9264
2753,-,209,0.0013,98.9277
2754,皂,209,0.0013,98.929
2755,蔓,209,0.0013,98.9303
2756,蕊,209,0.0013,98.9316
2757,疮,209,0.0013,98.9251
2758,咒,208,0.0013,98.9342
2759,僻,208,0.0013,98.9329
2760,炯,207,0.0013,98.9355
2761,寇,207,0.0013,98.9368
2762,铭,207,0.0013,98.9381
2763,薪,207,0.0013,98.9394
2764,恍,206,0.0013,98.9407
2765,辰,206,0.0013,98.942
2766,祈,205,0.0013,98.9433
2767,迭,205,0.0013,98.9446
2768,豁,204,0.0013,98.9472
2769,斩,204,0.0013,98.9485
2770,屡,204,0.0013,98.9459
2771,啼,203,0.0013,98.9511
2772,椒,203,0.0013,98.9524
2773,啡,203,0.0013,98.9537
2774,稽,203,0.0013,98.9498
2775,烤,203,0.0013,98.955
2776,澡,202,0.0013,98.9602
2777,籽,202,0.0013,98.9576
2778,洼,202,0.0013,98.9589
2779,茨,202,0.0013,98.9563
2780,榴,201,0.0013,98.9628
2781,唾,201,0.0013,98.9641
2782,巫,201,0.0013,98.9615
2783,乞,200,0.0013,98.9654
2784,焊,200,0.0013,98.9667
2785,杖,198,0.0013,98.9758
2786,贱,198,0.0013,98.9771
2787,咚,198,0.0013,98.9745
2788,蜘,198,0.0013,98.9732
2789,扒,198,0.0013,98.968
2790,隋,198,0.0013,98.9719
2791,晌,198,0.0013,98.9706
2792,暮,198,0.0013,98.9693
2793,涤,197,0.0013,98.9784
2794,茧,196,0.0013,98.981
2795,拴,196,0.0013,98.9823
2796,闽,196,0.0013,98.9849
2797,叨,196,0.0013,98.9797
2798,伽,196,0.0013,98.9836
2799,喳,195,0.0013,98.9862
2800,腕,194,0.0012,98.9874
2801,斧,194,0.0012,98.9886
2802,怔,194,0.0012,98.9898
2803,咖,194,0.0012,98.991
2804,啄,193,0.0012,98.9922
2805,溯,193,0.0012,98.9934
2806,踱,193,0.0012,98.9946
2807,沦,192,0.0012,98.997
2808,锄,192,0.0012,98.9982
2809,畸,192,0.0012,98.9994
2810,脓,192,0.0012,98.9958
2811,疙,191,0.0012,99.0018
2812,炊,191,0.0012,99.003
2813,擅,191,0.0012,99.0006
2814,粤,190,0.0012,99.0054
2815,虏,190,0.0012,99.0066
2816,豹,190,0.0012,99.0078
2817,榨,190,0.0012,99.009
2818,棱,190,0.0012,99.0102
2819,簇,190,0.0012,99.0114
2820,莺,190,0.0012,99.0126
2821,撇,190,0.0012,99.0138
2822,绎,190,0.0012,99.015
2823,尉,190,0.0012,99.0042
2824,柬,189,0.0012,99.0174
2825,涩,189,0.0012,99.0162
2826,乓,189,0.0012,99.0186
2827,觅,188,0.0012,99.0258
2828,茄,188,0.0012,99.0198
2829,涯,188,0.0012,99.021
2830,狩,188,0.0012,99.0222
2831,憎,188,0.0012,99.0234
2832,蔚,188,0.0012,99.0246
2833,挚,187,0.0012,99.0306
2834,姥,187,0.0012,99.0294
2835,袄,187,0.0012,99.027
2836,捡,187,0.0012,99.0282
2837,旷,186,0.0012,99.0354
2838,镶,186,0.0012,99.0318
2839,碘,186,0.0012,99.033
2840,袜,186,0.0012,99.0342
2841,丸,185,0.0012,99.0366
2842,糙,185,0.0012,99.0378
2843,鲸,184,0.0012,99.045
2844,铵,184,0.0012,99.0462
2845,倚,184,0.0012,99.0438
2846,矢,184,0.0012,99.0474
2847,锌,184,0.0012,99.0402
2848,褂,184,0.0012,99.0426
2849,牡,184,0.0012,99.039
2850,硕,184,0.0012,99.0414
2851,憨,182,0.0012,99.0498
2852,淌,182,0.0012,99.0486
2853,禾,181,0.0012,99.051
2854,尹,180,0.0012,99.0654
2855,荆,180,0.0012,99.0642
2856,苟,180,0.0012,99.063
2857,聋,180,0.0012,99.0618
2858,潇,180,0.0012,99.0606
2859,庐,180,0.0012,99.0594
2860,煎,180,0.0012,99.0522
2861,勿,180,0.0012,99.0582
2862,彬,180,0.0012,99.0666
2863,醋,180,0.0012,99.057
2864,梭,180,0.0012,99.0558
2865,秉,180,0.0012,99.0546
2866,嗦,180,0.0012,99.0534
2867,掷,179,0.0012,99.0678
2868,悼,179,0.0012,99.069
2869,噜,179,0.0012,99.0702
2870,茵,179,0.0012,99.0714
2871,蓉,179,0.0012,99.0726
2872,矫,178,0.0011,99.0737
2873,憋,177,0.0011,99.0792
2874,翘,177,0.0011,99.0748
2875,琢,177,0.0011,99.0759
2876,挠,177,0.0011,99.077
2877,吭,177,0.0011,99.0781
2878,兑,176,0.0011,99.0803
2879,蔗,176,0.0011,99.0814
2880,瑟,176,0.0011,99.0825
2881,痒,176,0.0011,99.0836
2882,琐,175,0.0011,99.0902
2883,酋,175,0.0011,99.0891
2884,廖,175,0.0011,99.088
2885,璋,175,0.0011,99.0869
2886,槐,175,0.0011,99.0847
2887,闺,175,0.0011,99.0858
2888,拧,175,0.0011,99.0913
2889,彰,174,0.0011,99.0924
2890,菱,174,0.0011,99.0935
2891,呕,174,0.0011,99.0946
2892,瘩,174,0.0011,99.0957
2893,筐,174,0.0011,99.0968
2894,搂,174,0.0011,99.0979
2895,焚,174,0.0011,99.099
2896,迄,174,0.0011,99.1001
2897,垮,173,0.0011,99.1045
2898,缕,173,0.0011,99.1034
2899,谜,173,0.0011,99.1067
2900,钥,173,0.0011,99.1012
2901,嘟,173,0.0011,99.1023
2902,蠢,173,0.0011,99.1056
2903,Ｏ,172,0.0011,99.1078
2904,蛤,172,0.0011,99.1089
2905,馈,172,0.0011,99.11
2906,咨,172,0.0011,99.1111
2907,敷,171,0.0011,99.1122
2908,缅,171,0.0011,99.1133
2909,聂,171,0.0011,99.1144
2910,宠,171,0.0011,99.1155
2911,禧,170,0.0011,99.1199
2912,沼,170,0.0011,99.1166
2913,巍,170,0.0011,99.1188
2914,榆,170,0.0011,99.121
2915,宛,170,0.0011,99.1177
2916,绷,169,0.0011,99.1221
2917,俞,169,0.0011,99.1232
2918,眶,169,0.0011,99.1243
2919,吩,168,0.0011,99.1254
2920,筛,168,0.0011,99.1265
2921,菩,168,0.0011,99.1276
2922,钞,168,0.0011,99.1287
2923,诈,167,0.0011,99.1309
2924,嗨,167,0.0011,99.1331
2925,葫,167,0.0011,99.1342
2926,佃,167,0.0011,99.1298
2927,酱,167,0.0011,99.132
2928,颓,166,0.0011,99.1353
2929,渺,166,0.0011,99.1364
2930,揽,166,0.0011,99.1375
2931,躬,166,0.0011,99.1386
2932,歹,166,0.0011,99.1397
2933,焕,166,0.0011,99.1408
2934,啪,165,0.0011,99.1419
2935,溅,165,0.0011,99.143
2936,栋,165,0.0011,99.1441
2937,沛,165,0.0011,99.1452
2938,砚,164,0.0011,99.1463
2939,霖,164,0.0011,99.1474
2940,囚,163,0.001,99.1484
2941,侄,163,0.001,99.1494
2942,妃,162,0.001,99.1524
2943,氓,162,0.001,99.1504
2944,狡,162,0.001,99.1514
2945,瞥,161,0.001,99.1534
2946,沁,161,0.001,99.1544
2947,揣,161,0.001,99.1554
2948,峭,161,0.001,99.1564
2949,樱,160,0.001,99.1574
2950,禹,160,0.001,99.1584
2951,岔,160,0.001,99.1594
2952,暇,160,0.001,99.1604
2953,檐,160,0.001,99.1614
2954,澜,160,0.001,99.1624
2955,涅,159,0.001,99.1644
2956,粥,159,0.001,99.1654
2957,馏,159,0.001,99.1634
2958,嗜,158,0.001,99.1664
2959,笃,158,0.001,99.1674
2960,麟,158,0.001,99.1684
2961,铲,158,0.001,99.1694
2962,寅,157,0.001,99.1704
2963,剔,157,0.001,99.1714
2964,尧,157,0.001,99.1724
2965,扼,156,0.001,99.1764
2966,赣,156,0.001,99.1754
2967,稠,156,0.001,99.1774
2968,屿,156,0.001,99.1734
2969,胺,156,0.001,99.1744
2970,帖,155,0.001,99.1814
2971,堕,155,0.001,99.1784
2972,亥,155,0.001,99.1794
2973,揪,155,0.001,99.1804
2974,梧,154,0.001,99.1824
2975,麓,154,0.001,99.1854
2976,瀑,154,0.001,99.1864
2977,窍,154,0.001,99.1844
2978,懈,154,0.001,99.1834
2979,淤,153,0.001,99.1934
2980,腮,153,0.001,99.1924
2981,腥,153,0.001,99.1914
2982,绞,153,0.001,99.1944
2983,鹃,153,0.001,99.1874
2984,卒,153,0.001,99.1904
2985,蕉,153,0.001,99.1894
2986,枫,153,0.001,99.1884
2987,脯,152,0.001,99.1954
2988,腑,152,0.001,99.1964
2989,碟,151,0.001,99.2024
2990,莽,151,0.001,99.2034
2991,毙,151,0.001,99.2014
2992,婷,151,0.001,99.2054
2993,磕,151,0.001,99.2004
2994,熏,151,0.001,99.1994
2995,酵,151,0.001,99.1974
2996,薇,151,0.001,99.1984
2997,溴,151,0.001,99.2044
2998,弛,150,0.001,99.2104
2999,挟,150,0.001,99.2094
3000,棘,150,0.001,99.2064
